datetime,0x_amount_in_top_holders,1inch_amount_in_top_holders,aave_amount_in_top_holders,alchemix_amount_in_top_holders,ampleforth_amount_in_top_holders,api3_amount_in_top_holders,bancor_amount_in_top_holders,band-protocol_amount_in_top_holders,coin98_amount_in_top_holders,cow-protocol_amount_in_top_holders,crvusd_amount_in_top_holders,dia-data_amount_in_top_holders,dydx_amount_in_top_holders,frax_amount_in_top_holders,frax-share_amount_in_top_holders,injective-protocol_amount_in_top_holders,lido-dao_amount_in_top_holders,liquity_amount_in_top_holders,liquity-usd_amount_in_top_holders,loopring_amount_in_top_holders,magic-internet-money_amount_in_top_holders,maker_amount_in_top_holders,marlin_amount_in_top_holders,melon_amount_in_top_holders,olympus_amount_in_top_holders,orbs_amount_in_top_holders,orion-protocol_amount_in_top_holders,pendle_amount_in_top_holders,rocket-pool_amount_in_top_holders,spell-token_amount_in_top_holders,ssv-network_amount_in_top_holders,sushi_amount_in_top_holders,tellor_amount_in_top_holders,uma_amount_in_top_holders,uniswap_amount_in_top_holders,yearn-finance_amount_in_top_holders
2023-07-21 00:00:00+00:00,481374325.8522711,788066226.5087956,8924922.049445525,1998055.124328701,53633662.51031901,101352991.1234851,100397015.48983891,83900916.42600136,231968106.4266734,939836178.5481228,627725064.7560811,152755761.45659402,620769933.5,872442388.2706245,74860361.83311008,89113056.99481897,502449684.2298692,84007150.45858079,226352595.7215662,606435997.0948162,168712019.4015447,460863.1886161773,6529096329.936389,1409040.848910106,26615382.631095488,9525333433.919312,113305023.47056094,139252422.0793429,31695820.91841038,94945534330.57413,7789140.1122968225,126981986.85079306,3.4028236692093836e+20,90659490.85314883,523314659.02628624,15344.585060356343
2023-07-22 00:00:00+00:00,481470672.25003785,789125785.1648041,8930572.566422343,1998104.611848371,53633662.51031901,101407527.71537592,100393553.56265548,83869225.32540484,231970847.0237854,939865345.2986577,628040843.1594995,152755488.61105904,620763847.7921432,792818861.9224429,74833226.5,89096047.53401896,502449684.2298692,84078513.59278853,227707361.6505393,606336635.3106517,168590594.0046661,456874.56048532383,6535803367.486376,1409175.3389101063,26621697.292381532,9525509322.689371,113304664.03009248,139306373.80025473,31686957.948559094,95081193612.0,7789634.893655821,127045089.95877977,3.4028236692093836e+20,90664101.91021135,523314259.02628624,15135.321310990494
2023-07-23 00:00:00+00:00,481521151.1040277,788938424.8341341,8931470.649678115,1997595.4225420088,53633662.51031901,101354779.2271247,100540399.16023606,83897751.63,251962091.3963654,939919525.3,632319923.4160764,152753975.82254902,620756674.4366701,782243665.9441952,74748298.30193532,89080218.49477898,502449684.2298692,84157900.41618948,227759981.88681597,605856040.1948056,167604949.77090603,456874.5455249416,6563244953.141389,1409306.3993470662,26619206.200649396,9539820979.542343,113300175.60405214,139389383.3887529,31692021.84891708,95185628865.14005,7795591.518883221,127055946.2048178,3.4028236692093836e+20,90664462.82289742,523313459.02628624,15133.374582990493
2023-07-24 00:00:00+00:00,492274169.7060277,790764674.0819154,8948099.925541082,1997585.523009045,53633662.51031901,101332097.31418256,101460069.06335768,83994878.77838859,250691677.1463654,940068720.3534178,634749416.2013919,155213406.61237675,620748850.1485977,783221334.0,74787034.62622796,89157684.29487897,502449684.2298692,84167022.01221554,229387874.6819356,606143038.5142916,165604658.30303624,456842.90419413435,6668318172.794031,1409306.3993470662,26616224.843772087,9532129673.0,113292952.21954322,139189388.77637053,31714843.45679157,97099826832.0,7788522.171292102,127185783.26878972,3.4028236692093836e+20,90668762.21832567,523313059.02628624,15151.058535680491
2023-07-25 00:00:00+00:00,492272786.10602766,791527317.2079365,8946687.433,2001104.279836382,53633662.51031901,101346439.05865955,101466879.29769032,84024081.01212247,251181540.1613654,939615687.7638566,636237769.1711379,155213406.61237675,622055789.6936667,783658644.3149968,74748096.37201281,89168904.87497897,502449684.2298692,84083943.7,231714979.94966364,606243012.1600529,166278676.3101284,443645.0959236443,6671939416.0,1409306.3993470662,26610186.57758362,9540703850.182571,113291453.09666346,138898828.51992616,31699468.32008478,97091430051.62231,7788005.491817822,127062468.37496728,3.4028236692093836e+20,90641331.70703185,523312659.02628624,15144.709341580492
2023-07-26 00:00:00+00:00,489953251.78527135,791546737.1251181,8943285.885899743,1998125.5848155185,53709249.39854458,100864097.56330134,101629637.8458709,84053216.61701256,250275706.81136543,939648014.0,639336576.7045008,153959869.63437676,621977989.3625989,783569559.4355855,74974435.43969367,89246916.97497897,502449684.2298692,84142285.95861325,230092134.7409825,605677944.6108557,166673585.93526572,443631.7868217772,6671452165.403657,1409365.009347066,26610739.291081883,9540513533.043802,113289789.16838457,139152321.6,31710243.88,96053752963.35124,7786110.271598701,127069422.54709405,3.4028236692093836e+20,90641331.70703185,523312259.02628624,15163.024106870493
2023-07-27 00:00:00+00:00,489970728.4252714,791691426.6867064,8942085.99,1988583.582714308,53428901.59182176,100956905.9543738,101668593.97533704,84023433.16929185,250744456.83336535,939600438.8178244,637072670.5,153959869.63437676,621975886.4135014,783210610.7161258,74927961.51374322,89246173.45421898,502449684.2298692,84172284.71616435,230215514.57487255,605308378.0661014,166865724.4591686,452570.7730625717,6666529547.087116,1408388.3613070662,26614591.38700377,9540509412.750095,113289789.16838457,138774949.35452652,31698131.91,96222264354.06744,7787308.390990712,126955445.42425592,3.402823669209384e+20,90589254.76315328,523311059.02628624,15165.134836550493
2023-07-28 00:00:00+00:00,489970973.1752714,791692570.8443497,8941282.299295953,1988687.3979938256,53412452.21655824,101018289.0,101664446.85887524,84010586.21729347,250672234.59336543,939365789.2915032,636428460.0731887,154801527.92137676,621970080.8512368,783970030.7233859,74868621.78133711,88664397.75050765,502449684.2298692,84244874.57,229995928.43722543,604756721.3789076,166911247.73192525,452381.6030625717,6664611299.136639,1407950.5836545064,26613823.618611556,9545403365.712751,113289789.16838457,138405612.31795904,31709594.34714021,96074748617.91292,7786287.163878112,127002881.80326556,3.402823669209384e+20,90599131.66676576,523310259.02628624,15181.26291631378
2023-07-29 00:00:00+00:00,489971069.0881172,799511121.4730824,8939825.162866984,1987839.978409294,53394074.74743676,101014940.72762136,101620826.78482734,83993237.25024667,250505567.91336545,939488819.2443012,635752184.0435377,154801527.92137676,621896892.8111783,783916961.4437803,74341335.23075712,88659724.21731973,502449684.2298692,84320049.41,229928607.5235936,604762191.2561849,167327006.3160206,452382.6030625717,6662260189.043394,1407948.0376785763,26620309.56452553,9545525414.0,113451402.12469696,138238861.81421238,31765860.15088448,96136559177.0,7788340.588472272,127400955.72931148,3.402823669209384e+20,90608845.29959768,523309859.02628624,15187.42173005378
2023-07-30 00:00:00+00:00,489970069.0881172,800406583.7955362,8950257.392797919,1998839.5215151412,53395548.74743676,101003717.85410488,101885285.88184582,83994362.33859488,250679517.84436545,940547500.845812,632589386.1853606,154801527.92137676,621893003.3265567,679204365.1679573,74042067.78120029,88663412.91741973,502432384.2298692,84302142.31838189,230575966.3932416,604807511.3,165163225.88976142,452375.8411600492,6665355227.764719,1407806.4976785765,26646830.64952279,9517829205.032084,113451402.12469696,138230555.8397563,31769340.13269557,96134650943.0,7788179.255304222,128055927.32281898,3.402823669209384e+20,90608845.29959768,523309459.02628624,15187.20947834326
2023-07-31 00:00:00+00:00,487268082.94811714,801200995.8788885,8830559.378124326,1986992.468653855,53395548.74743676,101004744.00661989,101974208.24888778,83985992.96531737,250201740.06436545,940604411.7,632900380.7798244,154801527.92137676,621884197.5111909,653929410.6292175,74118185.07,88668132.15741974,502432384.2298692,84308481.83348136,227655432.41884273,604166394.4129561,165871880.59583813,451999.952,6666651570.592505,1395598.0455485764,26649720.780835047,9520650549.417755,113448968.03915358,138358259.48279217,31790499.69484436,96089266767.70924,7794707.809800762,125806386.63118216,3.402823669209384e+20,90611451.47891513,523308659.02628624,15217.959033734054
2023-08-01 00:00:00+00:00,486675096.24708426,801203766.6185133,8807391.770044958,1988280.2875757185,53420757.81920316,101015285.03300329,101805651.0236798,84034858.07313591,251205857.1373654,940723985.377208,633774796.2,154801527.92137676,621870430.1577659,655892281.7312081,74842446.66,88678579.39,502432384.2298692,84286949.21644127,226727229.37052652,604509387.9031026,167041119.9294777,451791.2115922922,6666895643.0,1403471.0067785762,26605712.129336845,9516203818.0,113440200.84716035,138479036.66994742,31769672.75444746,96128146634.8174,7794535.5614924515,126107109.06667818,3.402823669209384e+20,91012886.85,523307459.02628624,15308.120653989252
