datetime,chainlink_whale_transaction_volume_100k_usd_to_inf,uniswap_whale_transaction_volume_100k_usd_to_inf,aave_whale_transaction_volume_100k_usd_to_inf,ondo-finance_whale_transaction_volume_100k_usd_to_inf,ethena_whale_transaction_volume_100k_usd_to_inf,maker_whale_transaction_volume_100k_usd_to_inf,injective-protocol_whale_transaction_volume_100k_usd_to_inf,lido-dao_whale_transaction_volume_100k_usd_to_inf,pendle_whale_transaction_volume_100k_usd_to_inf,olympus_whale_transaction_volume_100k_usd_to_inf,1inch_whale_transaction_volume_100k_usd_to_inf,frax_whale_transaction_volume_100k_usd_to_inf,convex-finance_whale_transaction_volume_100k_usd_to_inf,0x_whale_transaction_volume_100k_usd_to_inf,frax-share_whale_transaction_volume_100k_usd_to_inf,stargate-finance_whale_transaction_volume_100k_usd_to_inf,yearn-finance_whale_transaction_volume_100k_usd_to_inf,crvusd_whale_transaction_volume_100k_usd_to_inf,sushi_whale_transaction_volume_100k_usd_to_inf,cow-protocol_whale_transaction_volume_100k_usd_to_inf,lcx_whale_transaction_volume_100k_usd_to_inf,band-protocol_whale_transaction_volume_100k_usd_to_inf,clearpool_whale_transaction_volume_100k_usd_to_inf,rocket-pool_whale_transaction_volume_100k_usd_to_inf,uma_whale_transaction_volume_100k_usd_to_inf,api3_whale_transaction_volume_100k_usd_to_inf,spell-token_whale_transaction_volume_100k_usd_to_inf,orbs_whale_transaction_volume_100k_usd_to_inf,tellor_whale_transaction_volume_100k_usd_to_inf,marlin_whale_transaction_volume_100k_usd_to_inf,liquity_whale_transaction_volume_100k_usd_to_inf,numeraire_whale_transaction_volume_100k_usd_to_inf,ssv-network_whale_transaction_volume_100k_usd_to_inf,bancor_whale_transaction_volume_100k_usd_to_inf,balancer_whale_transaction_volume_100k_usd_to_inf,coin98_whale_transaction_volume_100k_usd_to_inf,dia-data_whale_transaction_volume_100k_usd_to_inf,tokenfi_whale_transaction_volume_100k_usd_to_inf,magic-internet-money_whale_transaction_volume_100k_usd_to_inf,dydx_whale_transaction_volume_100k_usd_to_inf,smardex_whale_transaction_volume_100k_usd_to_inf,hashflow_whale_transaction_volume_100k_usd_to_inf,renzo_whale_transaction_volume_100k_usd_to_inf,liquity-usd_whale_transaction_volume_100k_usd_to_inf,ampleforth_whale_transaction_volume_100k_usd_to_inf,orderly-network_whale_transaction_volume_100k_usd_to_inf,melon_whale_transaction_volume_100k_usd_to_inf,chainflip_whale_transaction_volume_100k_usd_to_inf,seth_whale_transaction_volume_100k_usd_to_inf,alchemix_whale_transaction_volume_100k_usd_to_inf,perpetual-protocol_whale_transaction_volume_100k_usd_to_inf,harvest-finance_whale_transaction_volume_100k_usd_to_inf,badger-dao_whale_transaction_volume_100k_usd_to_inf,synfutures_whale_transaction_volume_100k_usd_to_inf,lever_whale_transaction_volume_100k_usd_to_inf,ribbon-finance_whale_transaction_volume_100k_usd_to_inf,orion-protocol_whale_transaction_volume_100k_usd_to_inf,loopring_whale_transaction_volume_100k_usd_to_inf
2024-02-22 00:00:00+00:00,145461302.9111416,8744896.500893438,2509262.099686932,17999189.396162096,,25535401.594637763,46512740.925745495,21329906.956438575,6314026.340958993,0.0,926456.6942511648,13727302.601872567,8753681.671588887,910549.8289357392,9714840.941,3767512.236,2990150.5598501577,51512922.596083306,5299663.142981881,0.0,9501807.216671856,0.0,529650.1048560292,3470338.892273674,0.0,3918196.0839636615,14203597.687313473,1750554.8132585522,16545236.64663827,614644.9731934152,31765161.474561743,2590020.8690480106,1213689.870693718,0.0,442520.2207656799,151720.67915159522,0.0,,1313954.4937492672,36096354.11394876,218117.23281211892,2677259.1127150496,,2078699.4426505,0.0,,0.0,2460202.566333112,5153029.971,2910050.9235420856,2677812.8620060612,0.0,3688786.3766984977,,0.0,250684.60011754272,1623503.6756507668,1152791.1976998798
2024-02-23 00:00:00+00:00,207810016.01755244,395639982.53467816,34196612.89415329,44781019.32738979,,17981238.258367036,6151085.487224527,30274890.93527844,5052580.311988703,344512.9057,5845003.861844412,9732323.907737594,2282029.160889545,248914.3144943054,3968881.236536979,1491116.4536567617,4255432.563958703,35944214.156852536,15121797.81759085,353989.9377555598,0.0,0.0,282396.3133478086,166188.38437212628,0.0,5596676.763382248,9281435.058774086,2600566.584082515,3487840.5653148233,227409.35634158753,904711.8878,1327192.0844881246,677155.4791231367,508665.6943740064,1937749.5100675495,1359736.927674234,0.0,,701848.8168233652,18194680.724412896,341511.5121480619,5970451.539037382,,2188253.026317772,0.0,,0.0,1225430.9556065209,4920582.858310586,1596525.7248391623,2589684.575,0.0,0.0,,1302873.8474937524,508070.8443127703,4140353.5993254967,0.0
2024-02-24 00:00:00+00:00,44224437.47490212,193778305.0467713,17509815.25728398,13330541.22837651,,16247958.713141007,2609448.5947393896,8012238.082173866,546068.5561551366,886140.4229709493,24859859.01085737,16418895.199383236,3246996.846440238,253604.7947669878,6931341.111317731,129175.45745052214,7633751.791056075,22941130.786978617,15126485.921736384,0.0,0.0,0.0,0.0,3136894.985352906,691232.7166232809,17088211.82024904,7352885.306,591460.8241950097,112767485.6353797,0.0,4482580.423950862,1374095.867777648,1103959.8485288385,167082.42224055735,1944345.8789712184,11006547.144899344,567131.0538,,0.0,29420658.82985353,408525.17978202336,778120.8283,,8031533.100488118,0.0,,,2957285.530298513,3992526.754372525,234896.9731831248,587836.4241,0.0,0.0,,309816.1634100912,2711415.1599326697,4075359.112704628,6542405.363794044
2024-02-25 00:00:00+00:00,71440064.03,79237759.65255415,15706898.408952294,8859222.030561939,,4167219.2786511146,3689867.789715507,18786537.376101423,3870246.1794108874,568695.1605004004,6156046.971,2742513.8951853183,1341762.8361963276,439572.7456104647,5083998.033802082,365887.8380676437,1095638.1549548125,12513288.778554833,8821012.737,0.0,8793286.479501069,183006.05430494365,257279.64569589088,2680598.7361217816,204317.04411563196,2641122.9427116364,13913956.98391068,232720.571,103282.06696189746,0.0,367039.88680961134,3961731.024543226,532362.9726486139,265327.90759668034,0.0,324136.00428104046,0.0,110161.19803226752,0.0,8618518.576727409,1579283.6125069668,1911940.251290323,,9293301.743057849,0.0,,,14460547.62480129,0.0,1714055.6952762716,146894.60343769687,0.0,186845.4002463112,,0.0,1288164.8419934516,5693927.263209852,521899.98494952143
2024-02-26 00:00:00+00:00,174611506.96767774,94728180.30187485,52908120.638535775,7666585.015909986,,11923855.49622962,4431799.856731408,38928027.14764181,5490389.2296393765,1614930.283262006,3525340.3111997778,15186209.07317897,1271900.1427624389,2599385.37440901,11018413.063479152,936676.3408956202,437518.8177443993,27818857.71892974,5083298.212127697,358768.6662657082,0.0,434960.92867261346,737413.5776030461,1186964.07608583,2651749.8661327604,4476812.595288331,11510438.106145805,850588.7743722583,908725.0124249664,452883.6602,865328.4285358704,1686926.6904829687,1503466.2618086548,523652.8537018955,0.0,1379511.098039365,565445.1576816257,0.0,649436.7639780077,18131030.046891373,0.0,7491145.510309468,,4224402.975598424,,,,11184823.12031367,1766334.063943922,903468.3665,1359908.0921048103,7231613.111281215,1501725.786243926,,0.0,17762996.601660106,2235630.8425740306,484144.2969603733
2024-02-27 00:00:00+00:00,97775239.13721518,46035725.808998264,12940788.001114126,20596889.400384534,,31055237.35004204,23091000.0,13703864.790031703,33766300.87332581,316731.10882027366,5761128.465435095,3016623.6748455465,12263804.457611231,2931858.590393923,131707493.71108729,204901.10431288375,585873.1985886059,27869691.341397468,6123541.102452248,0.0,6953530.457460502,0.0,136498.16326743513,579002.5379484656,378274.2046413462,6380124.875928351,8869877.945824275,841094.4582450797,1469241.5331339284,0.0,1206035.7097652392,4876542.283804773,0.0,3474784.2469365182,705737.9431361234,0.0,523029.8739913369,0.0,0.0,11600330.492603814,1646779.744020432,4857270.681776131,,4790456.309487682,1325187.6476165317,,104868.48867618963,4951556.018786512,8432502.730986618,107115.4788767142,2112315.967743609,0.0,611862.0236643017,,354076.53817922296,13344385.39127991,666421.3746,860861.7857380691
2024-02-28 00:00:00+00:00,290830267.3995052,83784162.93735737,26162091.54554451,5560691.209892246,,21071949.730199177,22368682.34678478,37925639.444393665,2480302.5141026266,476769.4763735407,4240111.5090489555,19351304.277565815,1747197.1283316808,2596884.341714081,982033.9374182994,2127485.410648438,2472566.062021764,101479950.41170184,4284182.966108243,384752.51732205384,109867.67029458276,238018.5437217253,8006703.896,4981617.505973825,2364394.0921698287,5701295.265,6644362.887506819,1759215.591751546,2964797.9693158017,2108080.3634277503,15532764.74,3794509.8266030545,2508938.255410145,1889105.9572111943,633068.1896669522,947389.7545409128,0.0,103534.80768321616,0.0,14162480.38093964,1777080.3784576529,4281032.6593114175,,13913186.696025444,17437121.300685026,,0.0,2234844.675871002,2586132.9722073697,110802.14929528048,2997581.5494764596,0.0,1996018.5921380308,,665744.5355039991,10591855.596183274,515392.4819333913,2209874.08330016
2024-02-29 00:00:00+00:00,301649839.2843265,105855828.46392553,65806345.95788124,15781431.17,,24885126.261996575,27292857.598727267,32070028.295421623,6755910.771335204,117067.4414323488,5817461.918,34657832.008489855,12710901.621071594,654720.1755682827,12255892.02868243,410741.7299176941,3906313.0327835833,119178992.81500544,7450851.120345057,445466.8405658881,1497406.0921876067,0.0,1811611.2469945096,4554819.655534818,4364308.550743704,5844716.651995263,17996912.690610506,2361628.328797861,17340412.19741983,694587.4885,3468984.221134575,6235742.253057879,0.0,470013.2645130433,557738.7389296825,3803619.315120051,129190.9732707325,0.0,765873.4986636486,21366741.38106169,6512246.442,2239968.714875523,,13063237.455989229,973339.6431953842,,0.0,1643163.0796585546,3578442.8562428895,345054.8552632519,4131887.0935506546,23734986.431667313,2250797.1914794086,,0.0,17311586.702644687,259154.71232853265,1124607.190302417
2024-03-01 00:00:00+00:00,259356863.08575845,47500254.16126207,19233237.095747218,22722364.55672678,,15915259.860849056,16232874.537208963,42338303.92261656,8267950.6941016605,888465.7298710444,3395212.9076740188,13832816.511796156,2775726.3188621034,3234879.6865406614,14121978.778020373,7444053.038064691,3610201.722448555,60671664.44213322,2808380.598547983,0.0,334515.31624150474,427019.1748191273,4636104.0809349725,1151633.2440376976,11215481.125119347,5285145.428768303,26089609.275750063,302310.5592199964,15657966.347793534,1284911.3692649384,1093051.6401390296,2360239.069,793497.5284166246,122672.042,1082805.894981278,0.0,558727.4782156629,451346.5171782243,317104.7594447275,17354467.039805595,2224657.5777973817,4675782.058604981,,7214756.62,1080211.362048171,,0.0,8182267.533862613,572794.1796,0.0,2222831.2960237814,0.0,10317971.346997889,,110444.19436889056,12769862.539886689,705149.3254981169,1155075.471965992
2024-03-02 00:00:00+00:00,256202718.29998696,103788454.04002117,21267599.02724816,17956894.665902417,,6713393.910095865,8190349.53,36341549.291050866,657937.9282599187,0.0,832166.9468,20061721.79,3728698.938141434,411564.8906588803,7110552.993341147,332889.9430866902,3513793.584968563,17355140.374755584,2293279.2776419166,0.0,2294484.485712979,416598.4957607795,1187086.5870736884,995026.890666126,1004603.448621214,3188398.653392344,33449946.419305425,807348.2357715117,4693522.101933506,218722.3820397072,0.0,538896.4159228228,0.0,0.0,3949245.6866690153,5186581.022987306,0.0,1259442.1335921611,0.0,13082477.322233278,325298.75049891515,5001095.755263891,,3371591.704288131,1032010.1809301664,,287150.5740982049,840255.2315345712,1360432.8521558428,132297.98,2801069.2879195455,15240549.204598015,17083623.495186575,,0.0,2827703.929961259,100026.92923057148,1214525.248
2024-03-03 00:00:00+00:00,133230658.25942194,79046974.20699778,14990557.687760312,7221255.177039532,,6987751.467277865,13387439.97951428,17176841.411701754,3107919.637438289,0.0,4628454.438349298,12259819.00628303,2331762.193367094,1097664.041,5323080.623810763,4109051.637238148,17342678.438345917,31417538.011398103,2709463.161049606,166261.4044772326,0.0,0.0,1429354.0741935002,6415352.008247379,0.0,1085479.4395386798,10849788.738035295,0.0,21901393.292092897,370834.4821581882,264981.72109519504,2292398.1075736773,1246230.6367165053,568141.9264978131,215745.76477002213,1751624.1155688183,0.0,306649.5859388444,361660.4262743596,8036159.24,101780.7696218222,3334655.500043151,,9502303.163,0.0,,279589.0794486745,932134.7935705584,7389428.665002927,182326.86547903565,17053901.760478187,23573518.477378502,5917257.031083133,,1130076.2263246342,1078257.2739272013,1981109.836244623,20852591.599571303
2024-03-04 00:00:00+00:00,190554792.7013508,71807768.93514012,44996549.85,14337024.599539302,,35004115.01902586,20966201.62879406,68276690.75,17603044.14250329,0.0,4683721.289740019,22169546.692702692,2105441.9739504308,6257883.913367569,12399765.651895871,1038768.8371313962,3527068.7735308525,132788774.6390462,5287719.374538671,1316075.8750038743,1071029.8879659425,307792.0869148085,3024240.439845253,2037296.8117726156,2133901.187288209,2643549.9908089666,19590188.897228636,610789.3109,1736314.2543912197,0.0,4720203.123525405,4321133.798868941,4158047.4957036623,203006.36,1613401.654556367,1962781.0767864508,3080123.7685613176,367375.99309636425,2299598.034277213,23770990.808138248,180924203.7236632,15628745.84843576,,3316445.041,810526.3909399674,,0.0,5320287.938,654313.4142,1223235.7612552473,4383000.161,15591917.992404446,10348098.961309066,,177594.2916013862,1237503.5451161051,320523.1441765712,2756955.1895391983
2024-03-05 00:00:00+00:00,242847629.74686167,226197214.43942785,45187071.45221203,16294361.54107637,,17303193.02,8941379.842040144,91550340.43688212,5835182.456849494,0.0,7029580.093,52550353.52103654,4853639.009344305,5073542.9987877095,34228895.14976013,1314329.1678220397,14139995.309051218,147296484.93381917,2133485.2083146614,0.0,240039.5290520732,331448.6727546178,368847.7656888203,2450537.004260732,955943.7378445058,2101474.906527315,6239457.760352977,2678078.1565880864,3346098.5056395354,1022323.4949743678,3584749.8318007677,5969439.072898216,753708.6870615052,739921.2102405229,2138966.1379887387,3488572.789940731,0.0,613320.3435984314,2495433.908319644,25154939.48066652,9742702.615755232,2903680.936890409,,10563136.690589922,898140.2882391124,,366352.8018517208,1012243.3733591128,25241508.96,817044.2817975376,862299.7738452158,0.0,4899610.478843003,,2008401.454346463,6385238.061430223,1456032.343869857,11479707.45771978
2024-03-06 00:00:00+00:00,199207335.09970903,225804966.53338668,46862892.68421049,20836928.70602183,,165049158.6232901,8417518.356027314,36060465.08206697,5001528.032401588,112588.3395460198,30658601.438722555,49477909.033638194,4283558.944063798,25555507.534601297,53173593.315739624,1347491.9427388925,6176072.801618616,103361759.1136898,12846397.745107757,509954.1767430998,0.0,209554.5236095168,734300.0296287766,3646120.2336691,3757136.7828474063,2366214.1504686736,14644294.98,2783333.8291121507,2717705.1405059393,3662087.8838146217,16855755.853103504,5975259.030601485,1068310.8289147178,791374.7287628897,2355891.4770234777,0.0,1873192.372287364,0.0,0.0,19326562.756951485,1174438.302595175,2986399.214826326,,35413345.00153777,24156917.26256934,,109467.72475480872,4302880.808383138,15550264.612752482,2921659.722751279,289543.5581769344,0.0,4934325.732302021,,28202252.207855854,236319924.41160777,2378960.4813781274,1629435.9540436468
2024-03-07 00:00:00+00:00,269121581.5025666,77327942.91965072,28014165.50900995,25723625.389101624,,8540803.681846926,16639412.115477148,15101011.082548734,635821.2306046779,0.0,13789686.462809367,23191372.347195473,8323017.769,18931797.14901973,6780986.860716525,5108867.319343813,4148907.574287177,35796267.82,2176102.7460730816,264434.96778514725,0.0,233184.30364271032,118210.22159596908,4629734.481763483,2055770.118130474,3272496.513,2674510.741126849,2174320.880557905,3317546.1697734487,1440359.9722977204,32348789.529403526,1607256.9677442794,885436.6406630389,0.0,1579171.4801498384,0.0,1278523.9060984626,176185.3486856521,0.0,14523554.147170285,4932823.844036292,5596897.6770444065,,4467850.975692378,8726833.868,,6882491.121410899,2727684.469016905,5704346.001139932,396252.4447668254,917717.2138068216,1251906.5789659114,1810668.325276574,,569220.5644677936,38282528.58,2067254.2106554585,2389566.6462330557
2024-03-08 00:00:00+00:00,191792871.4891488,294365516.2103149,73704470.14987096,36231676.65919286,,95094869.74355802,10264032.984749012,37951476.33306335,1577890.069,1387046.4063445583,23580210.81407804,11616341.373924606,13918041.292790186,5658822.977674101,8932632.894421604,1304345.4960756467,12475575.638464743,59204683.71121335,7824941.1810240755,120478.81247188852,387867.7335874004,221010.0697194926,0.0,845190.076,10925777.396611646,5873047.691,6886381.492006106,1116419.140641899,59975679.871824384,8871311.682521572,4882501.611,4004200.256923547,243621.34289563284,414419.9994247804,389373.0937797248,31900214.928905804,273279.65506669204,2268301.151424071,0.0,163112476.08623862,705692.7094951322,31879450.61664911,,15069747.747359367,3690890.438154104,,2153066.7456320086,11649550.660485726,1543131.4070115648,0.0,29891001.488840193,0.0,5194105.347302369,,1642773.8179801484,51620602.04631076,3463276.7527544843,2712802.8728122963
2024-03-09 00:00:00+00:00,162558015.98555946,41569926.67525328,10155228.056298306,15594703.17183228,,38076445.69116059,10972563.75481437,24717487.32041505,1174862.4083079214,0.0,20361328.872848395,23303489.553802643,8624579.998456007,6199252.831654845,19297420.97796088,927343.6391213668,1319470.0160127582,35655661.80666101,1630943.4636511365,982857.5290849118,1001726.6797661268,249740.38803418103,0.0,448225.4604739988,4717925.085909085,2014928.7031063305,7590151.410440747,134353.62739226155,1744279.8534225554,2396303.027060859,39623152.62286749,11582044.702797731,351977.9697093799,0.0,791183.9748926418,0.0,644468.5725418403,5086413.029742668,597469.9324406974,27968776.291471336,0.0,9993851.826212926,,11989524.104642743,1301595.881085532,,0.0,2223636.4233395373,1342681.5980501547,259480.8972892086,0.0,0.0,2571560.2323276894,,0.0,42453942.86604501,0.0,1176399.299
