datetime,0x_social_volume_total,1inch_social_volume_total,aave_social_volume_total,alchemix_social_volume_total,ampleforth_social_volume_total,api3_social_volume_total,bancor_social_volume_total,band-protocol_social_volume_total,coin98_social_volume_total,cow-protocol_social_volume_total,crvusd_social_volume_total,dia-data_social_volume_total,dydx_social_volume_total,frax_social_volume_total,frax-share_social_volume_total,injective-protocol_social_volume_total,lido-dao_social_volume_total,liquity_social_volume_total,liquity-usd_social_volume_total,loopring_social_volume_total,magic-internet-money_social_volume_total,maker_social_volume_total,marlin_social_volume_total,melon_social_volume_total,olympus_social_volume_total,orbs_social_volume_total,orion-protocol_social_volume_total,pendle_social_volume_total,rocket-pool_social_volume_total,spell-token_social_volume_total,ssv-network_social_volume_total,sushi_social_volume_total,tellor_social_volume_total,uma_social_volume_total,uniswap_social_volume_total,yearn-finance_social_volume_total
2023-07-20 00:00:00+00:00,5.0,6.0,11.0,0.0,2.0,5.0,29.0,49.0,0.0,14.0,11.0,39.0,6.0,12.0,4.0,39.0,4.0,2.0,0.0,97.0,6.0,42.0,9.0,3.0,1.0,0.0,0.0,3.0,6.0,11.0,0.0,34.0,5.0,31.0,61.0,1.0
2023-07-21 00:00:00+00:00,2.0,6.0,8.0,3.0,1.0,5.0,12.0,26.0,0.0,9.0,19.0,25.0,12.0,12.0,3.0,38.0,3.0,5.0,1.0,40.0,19.0,60.0,19.0,3.0,3.0,0.0,0.0,4.0,37.0,14.0,0.0,25.0,0.0,23.0,70.0,2.0
2023-07-22 00:00:00+00:00,4.0,7.0,16.0,2.0,0.0,0.0,10.0,12.0,,2.0,14.0,17.0,0.0,10.0,1.0,29.0,2.0,1.0,1.0,40.0,9.0,30.0,14.0,4.0,3.0,1.0,0.0,4.0,11.0,9.0,1.0,24.0,3.0,30.0,72.0,3.0
2023-07-23 00:00:00+00:00,2.0,4.0,10.0,1.0,0.0,1.0,6.0,22.0,,9.0,6.0,27.0,2.0,7.0,2.0,21.0,6.0,2.0,1.0,37.0,6.0,34.0,7.0,4.0,2.0,1.0,0.0,13.0,10.0,10.0,0.0,27.0,0.0,13.0,62.0,1.0
2023-07-24 00:00:00+00:00,0.0,4.0,12.0,3.0,0.0,2.0,15.0,16.0,,10.0,4.0,15.0,6.0,19.0,6.0,27.0,1.0,1.0,0.0,46.0,7.0,38.0,5.0,9.0,2.0,24.0,,2.0,5.0,15.0,0.0,30.0,0.0,17.0,67.0,4.0
2023-07-25 00:00:00+00:00,1.0,3.0,5.0,0.0,3.0,0.0,23.0,12.0,1.0,16.0,3.0,19.0,6.0,22.0,4.0,20.0,9.0,4.0,2.0,32.0,12.0,52.0,14.0,5.0,4.0,10.0,1.0,5.0,11.0,8.0,0.0,34.0,0.0,32.0,66.0,3.0
2023-07-26 00:00:00+00:00,0.0,8.0,5.0,0.0,3.0,0.0,14.0,20.0,1.0,15.0,2.0,22.0,1.0,10.0,7.0,24.0,5.0,3.0,1.0,58.0,14.0,49.0,13.0,1.0,2.0,14.0,0.0,5.0,8.0,14.0,1.0,22.0,2.0,28.0,39.0,2.0
2023-07-27 00:00:00+00:00,1.0,7.0,20.0,0.0,3.0,0.0,6.0,9.0,0.0,8.0,8.0,25.0,5.0,7.0,1.0,27.0,4.0,5.0,1.0,28.0,9.0,58.0,7.0,6.0,3.0,9.0,0.0,7.0,4.0,9.0,1.0,25.0,3.0,28.0,68.0,2.0
2023-07-28 00:00:00+00:00,3.0,5.0,9.0,0.0,1.0,2.0,3.0,17.0,0.0,13.0,12.0,22.0,3.0,11.0,7.0,26.0,5.0,2.0,0.0,24.0,8.0,50.0,15.0,4.0,5.0,14.0,0.0,8.0,5.0,13.0,0.0,7.0,0.0,44.0,62.0,3.0
2023-07-29 00:00:00+00:00,1.0,10.0,9.0,,5.0,1.0,5.0,8.0,0.0,10.0,11.0,13.0,8.0,22.0,7.0,10.0,4.0,1.0,1.0,28.0,7.0,46.0,17.0,2.0,3.0,6.0,1.0,4.0,3.0,6.0,1.0,13.0,2.0,32.0,65.0,2.0
