datetime,0x_sentiment_weighted_total_1d,1inch_sentiment_weighted_total_1d,aave_sentiment_weighted_total_1d,alchemix_sentiment_weighted_total_1d,ampleforth_sentiment_weighted_total_1d,api3_sentiment_weighted_total_1d,bancor_sentiment_weighted_total_1d,band-protocol_sentiment_weighted_total_1d,coin98_sentiment_weighted_total_1d,cow-protocol_sentiment_weighted_total_1d,crvusd_sentiment_weighted_total_1d,dia-data_sentiment_weighted_total_1d,dydx_sentiment_weighted_total_1d,frax_sentiment_weighted_total_1d,frax-share_sentiment_weighted_total_1d,injective-protocol_sentiment_weighted_total_1d,lido-dao_sentiment_weighted_total_1d,liquity_sentiment_weighted_total_1d,liquity-usd_sentiment_weighted_total_1d,loopring_sentiment_weighted_total_1d,magic-internet-money_sentiment_weighted_total_1d,maker_sentiment_weighted_total_1d,marlin_sentiment_weighted_total_1d,melon_sentiment_weighted_total_1d,olympus_sentiment_weighted_total_1d,orbs_sentiment_weighted_total_1d,orion-protocol_sentiment_weighted_total_1d,pendle_sentiment_weighted_total_1d,rocket-pool_sentiment_weighted_total_1d,spell-token_sentiment_weighted_total_1d,ssv-network_sentiment_weighted_total_1d,sushi_sentiment_weighted_total_1d,tellor_sentiment_weighted_total_1d,uma_sentiment_weighted_total_1d,uniswap_sentiment_weighted_total_1d,yearn-finance_sentiment_weighted_total_1d
2025-03-26 00:00:00+00:00,-0.27709866,-0.683267187,0.496709168,-0.086309283,0.076912185,-0.158246738,0.010125079,1.255502782,-0.342813885,0.107634704,-0.293361608,1.789712593,-0.121995358,-0.233604819,-0.546054738,0.975338602,1.55441585,-0.214740613,0.052008166,-1.703077929,-2.112454136,2.281347169,-0.763609191,-0.231592953,0.223265716,-0.32869568,-0.206351506,1.050477915,-0.127756036,-0.564283685,-0.158910102,-0.481014555,-0.33738464,-3.038348666,-0.232302896,-0.242178246
2025-03-27 00:00:00+00:00,0.183187191,-0.12198116,-0.547018399,-0.086309283,-0.364876419,-0.256126415,0.010125079,-0.263812572,-0.342813885,0.490188365,-0.269694009,1.186979365,-0.023646641,-0.294439736,-0.250906889,-0.606798237,-0.328928617,-0.187263772,-1.541495965,0.017645905,0.27105842,-0.280935885,-0.422672281,-0.231592953,0.312333959,0.220708802,-0.206351506,1.470113531,-0.223062673,-0.039248378,-0.158910102,0.393910868,-0.567381871,0.710099297,-0.495561194,-0.085008175
2025-03-28 00:00:00+00:00,0.655979963,-0.110036874,1.017121945,-0.086309283,-0.513309326,0.016924249,0.010125079,-0.176036381,-0.342813885,-0.300999647,-0.17707831,-0.937859935,-0.008780344,-0.313720743,-0.350616277,-0.586215928,0.658585712,-0.187263772,0.105559803,0.269959667,0.389758217,-0.156798183,-0.422672281,-0.231592953,-0.373664449,0.109333721,-0.206351506,0.773695679,-0.223253774,-0.436536869,-0.158910102,0.395824378,3.731950755,0.997287822,0.187210752,4.155743701
2025-03-29 00:00:00+00:00,-0.713859474,-0.098739314,0.097227429,-0.086309283,-0.125376077,-0.231077626,0.010493438,-0.403384391,-0.342813885,-0.109633034,-0.197179336,-0.302834074,-0.26621221,-0.208003205,-0.330147217,-0.967857666,-0.524761876,-0.173503324,0.105559803,-0.766886126,0.252678747,-0.807641461,0.40591066,1.89106488,1.032599912,-0.345425838,-0.206351506,-0.509504916,-0.223253774,-1.17679671,-0.158910102,-0.145572804,-0.367103557,-0.290948768,-0.225482564,-0.141954617
2025-03-30 00:00:00+00:00,-0.345605453,-0.098739314,-0.644084135,1.760141789,-0.041071172,-0.231077626,0.09897518,-0.505582712,-0.342813885,-0.371361453,-0.280217,-0.582877078,0.020639818,-0.25882662,-0.216297894,-1.264792094,-0.456696848,-0.173503324,0.509226613,0.456514225,0.391380926,-0.166302502,1.652581847,-1.012183123,0.28835938,2.819504348,-0.206351506,-0.70086513,-0.224074176,-0.104648125,-0.158910102,0.605547367,0.000675251,-0.315257958,-0.469059903,-0.141954617
2025-03-31 00:00:00+00:00,-0.345605453,-0.098739314,-0.469044822,-0.114754627,0.010684335,-0.129696097,0.09897518,-0.309335063,5.364292775,-0.264349089,-0.280217,-1.061651552,0.392317692,-0.279132347,-0.319900587,-0.330363614,-0.502699468,0.506438821,0.113762891,0.281440281,0.388135994,-0.700658406,2.427780707,7.396563874,-0.383921636,-0.345622217,-0.206351506,-0.682677315,-0.224074176,-2.124854389,-0.158910102,-0.280172749,-0.374669799,-0.141187099,-0.702921094,2.144106258
2025-04-01 00:00:00+00:00,1.188572069,-0.463420451,-0.402619681,-0.114754627,-0.104767468,1.014392872,0.09897518,-0.509039286,0.445225579,-0.262816172,-0.431341661,1.563748581,0.035376241,-0.207806257,-0.313007392,-1.345103283,0.599899245,-0.178555371,0.099266527,-0.015814653,-0.037946786,-0.079526547,-0.433813654,2.425159368,2.148381959,0.143359855,-0.206351506,2.634575786,-0.583547711,0.155857292,-0.158910102,-0.265403056,-0.363134401,-2.54999202,0.027668852,-0.166827642
2025-04-02 00:00:00+00:00,-0.371861295,-0.104806968,-0.550638165,-0.114754627,0.07894749,-0.251662469,0.09897518,-0.471802599,0.063566277,-0.300275654,-0.282845552,-0.568034485,-0.275378256,-0.174367186,-0.13082898,-0.96427753,-0.513282609,-0.165305393,0.099266527,0.277757202,0.956632037,0.204501299,-0.433813654,0.282143057,-0.409900485,-0.345103314,-0.206351506,4.200727114,-0.217521453,-0.495426282,-0.158910102,-0.260453255,0.004111202,-0.2156671,0.115109679,-0.166827642
2025-04-03 00:00:00+00:00,0.367640836,0.58905807,-0.600140331,-0.114754627,0.007606585,-0.251662469,3.246057465,-0.061075569,-0.359258739,-1.589076896,-0.282845552,0.821633698,-0.291254785,-0.212424217,-0.31741383,-0.486416774,-0.513282609,-0.165305393,0.099266527,0.276978741,0.3779288,-0.493438518,-0.433813654,0.287914054,-0.677520185,-0.755172191,-0.206351506,1.13290626,-0.217521453,-0.067023539,-0.154876658,-0.458504257,-0.356671206,-0.569090016,-0.500647298,0.926452885
2025-04-04 00:00:00+00:00,0.199801717,-0.122845614,-0.290145023,-0.114754627,-0.095782016,-0.251662469,0.0371072,2.672155139,3.862277942,3.458428532,0.954978468,-1.070596106,-0.278507023,-0.16515224,-0.29816326,0.468471098,-0.517311392,-0.171397825,0.099266527,0.305943182,0.374135393,-0.677514452,-0.989748172,-0.636849102,-0.404408474,-0.82501405,-0.206351506,2.479081405,-0.217521453,2.346787736,-0.154876658,-0.622714687,-0.368843168,0.271152345,-0.603650454,-0.183850819
2025-04-05 00:00:00+00:00,-0.394286742,-2.58571999,-0.662572092,-0.179897994,-0.51389238,-0.250014882,0.0371072,-0.551357395,0.288219904,-0.095807135,-0.001865901,-0.694453579,-0.190928297,-0.236562585,-0.313848238,-0.904228195,-0.214841827,-0.150628003,0.099266527,0.305943182,0.365020409,-0.904509295,-0.105695767,-0.067801193,-0.404408474,-0.322799032,-0.043170637,-0.924286818,-0.217521453,1.05311681,-0.154876658,-0.53197414,-0.368843168,-0.354938331,-0.420223749,-0.184511872
2025-04-06 00:00:00+00:00,-0.386271956,-0.07452561,-0.27691826,-0.179897994,1.445615441,-0.250014882,2.977765416,-0.180031596,-0.391793434,0.168378355,-0.314204198,-0.180425563,-0.303184306,-0.303153179,-0.377621821,-1.193689557,-0.255147942,-0.089596281,0.09305948,0.040224829,0.268106771,-0.369059887,-0.394598515,0.047339394,-0.391003533,-0.319085612,-0.209143597,-0.568895844,-0.217521453,-0.807498427,-0.154876658,-0.331795263,0.301074141,-0.224153398,-0.401023373,-0.194271299
2025-04-07 00:00:00+00:00,-0.386271956,-0.07452561,0.162132851,-0.178162207,-0.211698043,-0.248334697,-2.696567998,-0.79967364,-0.380550158,-0.592633678,-0.314204198,1.711969092,-0.09520898,-0.128332628,-0.249935375,-0.348435968,-0.417215592,-0.051469922,0.09305948,0.309543701,-0.421895205,0.214682158,0.264827837,-0.069715895,-0.391003533,-0.319085612,-0.209143597,1.294827517,-0.128877586,-0.923269475,-0.154876658,-0.059274091,-0.383647998,-0.222149855,-0.057500996,-0.194271299
2025-04-08 00:00:00+00:00,2.006544437,0.230476455,-0.262826297,-0.154039841,-0.599070697,-0.247315377,0.04382506,1.08018007,0.441598894,-0.296854504,-0.308670906,-0.022881872,-0.191603733,-0.136784557,-0.300399181,-0.504601254,-0.470346476,-0.017425649,0.09305948,0.295055741,0.478638868,-0.651939052,-0.415308062,-0.23701238,-0.432913702,-0.078745007,-0.206180159,-0.062627752,-0.219056421,-4.268007218,-0.154876658,2.084726458,-0.025934852,-0.165640443,-0.365306305,-0.194271299
2025-04-09 00:00:00+00:00,0.131674388,-0.00990352,-0.431145657,-0.154039841,0.314470873,-0.242212408,-2.515298241,-0.726077907,-0.387653534,-0.577078767,-0.308670906,-0.42305878,-0.181343333,-0.080570628,-0.301946942,1.963683498,-0.192498429,-0.000893825,0.167528879,0.320195113,0.390081931,0.479347833,2.863912444,-0.229968113,-0.419594827,-0.323354426,-0.206180159,1.741971331,-0.219056421,-2.825047826,-0.258071121,-1.177324176,0.327474719,-0.085717068,-0.365198054,-0.194271299
2025-04-10 00:00:00+00:00,-0.385153009,-0.458734756,-0.410509575,-0.154039841,1.53673517,-0.242212408,-5.477082144,0.192703834,0.687290521,-0.348735197,-0.304942217,-0.607188286,-0.029236938,-0.216064071,-0.199753981,-0.719855174,-0.487504103,0.462274463,0.167528879,0.320195113,-0.170048754,-0.642929247,0.137309231,-0.229968113,0.414208698,-0.323354426,-0.180006935,1.931764429,-0.219390067,2.918535578,-0.258071121,-0.073436202,0.058747963,-0.234004861,-0.369562643,-0.196044099
2025-04-11 00:00:00+00:00,-0.385153009,-0.550650343,-0.340027124,-0.154039841,0.156299427,-0.242212408,0.151408217,1.028464756,-0.404489568,-0.350133658,-0.304942217,-0.600804701,-0.137367351,-0.238114644,-0.051285881,-0.522375648,-0.43396696,0.000948347,0.167528879,0.320195113,0.162401343,-1.096494496,-2.091093741,-0.229968113,-0.505448743,-0.323354426,-0.137237941,-1.019243091,-0.20708847,-2.497947166,-0.258071121,-0.23939764,-0.394954169,0.527681991,-0.471326197,-0.196044099
2025-04-12 00:00:00+00:00,-0.408260237,0.003501939,-0.529524208,-0.154039841,-0.045050212,-0.005250498,0.151408217,1.362675856,-0.404489568,0.014351127,-0.302153787,-1.109194492,-0.070147036,-0.284460715,-0.178892723,-0.685513478,-0.464000428,0.027130596,0.175746991,-0.224945183,0.379017078,-0.287134081,-0.384604497,-0.227107672,-0.419481077,-0.318776322,-0.137237941,-0.559260232,-0.201639854,-0.31872286,-0.258071121,-0.238532974,-0.374204633,0.3768999,-0.257916418,-0.197126128
2025-04-13 00:00:00+00:00,-0.38473175,0.003501939,-0.491247726,-0.154039841,-0.044034085,-0.159964281,0.151408217,0.159651223,-0.404489568,-2.201031113,-0.299690523,-0.477980919,-0.180154797,-0.238411701,-0.217402223,-0.713489449,-0.447584035,0.043271539,0.175746991,0.29890134,0.393468045,-1.194305804,-0.374864891,-0.048581194,2.190009297,-0.03279636,-0.130927473,-0.62834693,-0.207360251,-0.554375846,-0.308406652,-0.443150617,-0.374596516,-0.386492991,-0.445178988,-0.197126128
2025-04-14 00:00:00+00:00,-1.160288016,0.007447104,-0.470153552,-0.154039841,0.643086249,-0.247797324,2.422554582,3.920517396,-0.404489568,2.735483548,-0.297022825,-0.414966465,-0.080434369,-0.31195959,-0.152686889,-0.828196816,-0.280295497,0.028639771,0.167954809,0.309771121,0.377901435,-0.325572344,0.850743413,-0.225140095,-0.407286899,-0.312659284,-0.130927473,-0.714767269,-0.214287895,1.260021672,2.599240637,-0.653695675,-0.362443857,-0.416960637,-0.77547418,-0.197126128
2025-04-15 00:00:00+00:00,0.720536148,0.227365869,-0.407094617,-0.154039841,-0.049076206,-0.247797324,0.105730068,-0.105089116,1.499939811,-0.166544539,-0.289348483,-0.688196343,-0.27107312,-0.182353875,0.252630189,-0.907963296,-0.436802239,0.02072226,0.167954809,0.817775899,0.368307902,0.18735408,-0.650222149,-0.124979171,-0.40791665,0.114456579,-0.130927473,-0.631226444,-0.181882195,-0.194046058,-0.308574951,0.034045225,0.162290733,2.047869651,-0.506234642,-0.197126128
2025-04-16 00:00:00+00:00,-0.16183648,0.076862597,-0.451157179,-0.154039841,0.003902181,-0.247797324,0.114939281,1.999003045,-0.421532884,-0.17096356,-0.289348483,-0.847157352,-0.142097021,-0.268140458,-0.293885638,-0.563393266,-0.469620446,0.030351707,0.167954809,0.550874192,-0.501235148,0.247989163,-0.377375335,-0.394564703,-0.39723745,0.658484759,-0.130927473,0.233369696,-0.181882195,-0.026762685,2.67656393,-0.247672985,-0.886694682,-0.161210613,1.388292096,-0.197126128
2025-04-17 00:00:00+00:00,-0.366375244,0.076862597,-0.375864457,-0.154039841,-0.031740797,-0.247797324,0.114939281,-0.367382865,0.255972459,-0.25977964,0.951486681,0.261998069,-0.290258196,-0.135997054,0.490342735,0.354556212,-0.461371321,0.030351707,0.167954809,0.261951115,0.692523011,-0.45855092,-0.378284421,-0.227321776,-0.39723745,0.650884301,-0.130927473,-0.430631104,-0.181882195,0.111282743,-0.338907853,4.497752857,-0.194335109,-0.227734401,0.126891916,-0.197126128
2025-04-18 00:00:00+00:00,-0.377193516,0.069310686,-0.43800823,-0.154039841,-0.03550201,-0.247797324,0.114939281,-0.368066999,0.30954842,0.051469822,0.249519438,0.221964029,-0.137497592,-0.251222905,-0.236009301,-0.684162412,-0.461371321,0.030351707,0.654271602,0.262108444,0.162867311,-0.456156207,-0.439372838,-0.137665239,-0.385030256,-0.33046328,-0.075862117,-0.606108417,-0.181882195,0.190488054,-0.338907853,0.411537534,-0.368534584,0.178675001,0.372177736,-0.197126128
2025-04-19 00:00:00+00:00,-0.377193516,0.069310686,-0.583151645,-0.154039841,0.11057634,-0.247797324,0.114939281,0.416429669,-0.445956414,-0.141507677,-0.311743721,1.093511227,-0.237551044,-0.249798367,-0.22847574,-0.719544857,-0.474947919,0.030351707,0.124103496,1.187464267,0.463373897,-0.177828692,-0.074399308,-0.769864722,-0.385030256,-0.308407586,-0.075862117,-0.457226329,2.164901783,-0.080084968,-0.338907853,-0.558747144,-0.368534584,-0.039325992,-0.252128356,-0.206137434
2025-04-20 00:00:00+00:00,-0.115020632,0.513806558,-0.493289449,-0.154039841,0.00897384,-0.247797324,0.114939281,-0.187515432,-0.096001081,-0.279125856,-0.174135133,-1.07657368,-0.321656397,-0.247259866,-0.216050597,-0.791444494,-0.43484514,0.050040769,0.010747473,0.265146516,0.342696659,-0.474366808,-0.071628992,-0.202293018,1.121398439,-0.308407586,-0.075862117,-0.703034649,0.81469466,0.128252427,-0.338907853,1.114928193,-0.362112463,-0.367069718,0.424787236,-0.214843719
2025-04-21 00:00:00+00:00,-0.367960521,0.038893334,-0.429091707,-0.086983927,0.013098063,-0.247797324,0.702460634,0.73751264,-0.452519406,-0.279407954,-0.312940184,1.484846602,-0.195485278,-0.279921058,-0.429383293,-0.511071152,-0.426683641,0.095980127,0.010747473,0.536377155,0.343288739,-0.416727133,-0.367436608,-0.196558969,-0.479923927,-0.304580517,-0.075862117,-0.071573663,-0.255363371,-1.938813855,-0.338907853,0.084169448,-0.353892876,-0.375137011,-0.354859524,-0.214843719
