datetime,0x_exchange_outflow_usd,1inch_exchange_outflow_usd,aave_exchange_outflow_usd,alchemix_exchange_outflow_usd,ampleforth_exchange_outflow_usd,api3_exchange_outflow_usd,bancor_exchange_outflow_usd,band-protocol_exchange_outflow_usd,coin98_exchange_outflow_usd,cow-protocol_exchange_outflow_usd,crvusd_exchange_outflow_usd,dia-data_exchange_outflow_usd,dydx_exchange_outflow_usd,frax_exchange_outflow_usd,frax-share_exchange_outflow_usd,injective-protocol_exchange_outflow_usd,lido-dao_exchange_outflow_usd,liquity_exchange_outflow_usd,liquity-usd_exchange_outflow_usd,loopring_exchange_outflow_usd,magic-internet-money_exchange_outflow_usd,maker_exchange_outflow_usd,marlin_exchange_outflow_usd,melon_exchange_outflow_usd,olympus_exchange_outflow_usd,orbs_exchange_outflow_usd,orion-protocol_exchange_outflow_usd,pendle_exchange_outflow_usd,rocket-pool_exchange_outflow_usd,spell-token_exchange_outflow_usd,ssv-network_exchange_outflow_usd,sushi_exchange_outflow_usd,tellor_exchange_outflow_usd,uma_exchange_outflow_usd,uniswap_exchange_outflow_usd,yearn-finance_exchange_outflow_usd
2023-07-06 00:00:00+00:00,469834.39621954743,468663.4713263454,17253263.44620062,141364.86998524133,48111.7556378267,61217.40781831755,138891.3331292186,4254.783321491512,43172.645225644614,0.0,5113518.56361879,4196.941304558466,503462.68367740663,5075803.009870504,4813409.305257926,276356.4268894741,4229292.577270983,423693.14249024424,4766345.73365354,472711.8875251552,650758.7984684934,4073660.8880843553,45870.987233945096,165013.78166209027,358896.5163245776,0.0,24076.796773692175,1546709.1351692446,550095.5342236877,101351.56668025385,93438.97413833828,622307.8998771413,2247.408736638748,351361.70753964334,3633730.028452099,568917.9773590742
2023-07-07 00:00:00+00:00,284552.9082117349,667061.831773743,6001414.643402258,73331.83859245914,111383.37452734774,36920.72202109759,194394.90362041505,11577.08579026735,16729.659701971264,732.181298676847,3389660.440827328,51560.79275431976,854297.795154594,3247918.8324815948,1470446.8008649768,309194.36805744364,3418285.4363820995,343444.40512501355,958494.6950713504,245923.4623104352,1561828.908057672,4764331.267427299,86376.61269137345,21554.826939460538,182276.39975818704,1127.555312190331,16209.065994032317,416632.86302464065,436635.37889764336,64096.80956038499,158170.4798960664,219628.37453697668,11379.42411888465,27831.590557178708,5860760.703564151,318083.10842024424
2023-07-08 00:00:00+00:00,45201.74608049885,368268.31279987254,4092922.5334997713,130187.7582446265,37478.6915155693,40472.47913496143,225595.500016263,50492.43309922234,38776.48919763658,0.0,3418401.293819451,16327.780207667203,615534.664710469,2431599.9622218115,640381.985127483,157650.8939690868,2317142.6522617885,298053.9797324103,271962.5743838559,161891.19581654592,173439.34595373762,1775130.2025320197,1239458.925203869,219.886138449146,64184.937572450195,6117.573273545232,3364.383224073755,286979.6011864388,171863.6917072051,122638.21555911798,101408.0523387603,188511.61556384576,628.430089965633,28588.951834936423,4366166.501790576,424726.05462678615
2023-07-09 00:00:00+00:00,104449.3756639508,483304.5614923274,3836212.418157023,80301.57499840649,27624.186741143443,163576.9934862382,320543.36158302135,32309.511736110144,15378.25235132912,999.241712181078,1368951.1498268826,71700.56317269265,317501.54999267205,2806150.6610555127,625995.618508246,295713.2835590671,360436.06722090946,525245.944424676,1020142.0426551664,105867.56170364493,214337.41030200012,1627270.2434363707,2078414.1798855476,63289.80657924308,51829.33874322867,476.833311314083,48545.04690262894,177126.45664875777,81592.17754645231,95662.76865408408,75838.14075240526,36978.43762012624,32347.212302390926,114084.78633468023,2202901.9932204443,324696.91262294806
2023-07-10 00:00:00+00:00,97119.11195268476,799298.1456922971,3751812.0103167486,264979.39587305393,13821.245449321978,118522.5377808627,214126.4421814611,77636.70736004187,4058.025634227346,7385.17272373233,15603689.341007285,6465.109130549125,2380134.424487423,6095081.463724881,1399076.0635758557,638025.3283727203,3871349.7198465336,675978.1269285277,2699824.740867514,240876.98837452577,107851.46685086277,1236094.1892780222,419987.8109728429,93651.79576601632,244924.0203868852,0.0,154016.21918657984,261216.20436412765,1079634.4104660198,247192.31549429675,32511.610503583415,384488.2001273239,610.096021912816,123705.13304035748,2677649.2773170657,594922.4330990224
2023-07-11 00:00:00+00:00,67535.4650754839,484954.2206135308,6972642.150021323,116169.60360138124,15777.97584046706,165886.01884954597,464060.31723461306,16087.740944921195,5303.720638234163,8785.327076693751,1527398.527357194,11100.601313189743,620286.8472180129,1749343.8920380126,781820.7972601666,227389.96027565483,1362350.1786163049,1198987.922675623,1229179.848035195,87293.57186113208,377332.1087144767,1531134.680975274,102268.22286188728,24889.545677739115,393675.98119627574,16518.913453621673,7837.750426538609,628648.9530481239,489821.0463559653,511329.3839235342,444643.36566803703,81964.04955991384,307.49601807243,472941.1132438001,3318235.4661188503,204236.17117656663
2023-07-12 00:00:00+00:00,48009.54289933311,1917614.5332362037,6504979.931173027,75476.08067273328,195609.4996506688,122396.56356672187,245367.60452922923,32809.22670763444,8630.684387072912,17406.724841864823,2662438.4683086,655807.5210488952,612902.1185467159,687550.3642983576,839063.7796854054,150911.60000231062,1750913.6765835318,1413729.0366256607,933083.9349306268,192485.96216768312,55004.066340007674,932140.3260553272,144089.00398452807,11161.800837923334,716009.025244028,6358.336115576548,73519.2404973967,249814.03613939657,276482.86897538597,15528.6211651067,249633.59605235475,372758.9806693594,2470.915811124542,92466.49350997365,1905992.396797844,166759.89629607962
2023-07-13 00:00:00+00:00,114532.78482256756,1275877.5863463464,8870579.982218647,75245.51546260828,107127.22416527227,205690.2272549215,312398.0501297008,50641.168617944066,6652.756078982524,362.858120955377,12224754.503160048,647918.2359580125,3333585.4702376537,2101519.6821823944,2561018.208370495,394525.5564039032,15451782.357478185,2847922.1890000296,6943807.9994987305,259724.10545460077,3144409.131611682,6383369.237750255,137860.58935750386,44207.10226384552,794720.8310555259,27376.125664632546,13898.542633625084,1424222.3537976332,1005186.7069210942,50942.7555962394,99500.34307755632,841213.0528011225,11215.28774902799,203025.90306121585,7765017.169147164,754778.0401593811
2023-07-14 00:00:00+00:00,131476.36863554083,1589370.7258122738,13211003.980205946,59411.7703574288,74797.7008943868,250520.22433937175,356703.043694881,69924.07869236385,26548.627646287972,5388.090790456002,12018334.790822312,169103.49349641174,3128570.521136937,6021546.327044613,3701365.65549744,1308637.1954709515,22927629.11779549,8901395.203193622,3220173.684316063,286373.06331303745,558415.1521378212,3048934.2415185925,178532.3071950645,39694.77054996116,333811.34073620924,13559.288786362797,35564.574979189696,1067290.9712621793,3320894.6034771902,99319.12182110736,233892.91842660628,1035122.4310950136,3178.666571978441,310117.7956710943,9940029.371003278,824291.9748558882
2023-07-15 00:00:00+00:00,1417449.6148181662,5513082.019671872,5749618.409717492,65005.654624340394,17533.71065531639,170149.09010489492,346253.7533685825,7557.777101337903,5914.345154769793,93.975096775237,4652302.461756191,57213.628404586954,323488.66109145165,1356400.923378744,1032476.8847893004,892162.9421757418,8584636.673402267,6863823.483723558,2644178.401218487,108245.347577235,377090.1716381305,1599814.5777645027,132541.68127193052,1998.416023759404,161622.31943407404,36521.78240693232,11863.12615061412,520204.1892174764,224883.6821076048,14590.14392463648,141482.79208505823,212014.80891908653,4547.317597013945,53387.127762581855,2353816.2813363313,401727.0630517214
