datetime,0x_exchange_balance,1inch_exchange_balance,aave_exchange_balance,alchemix_exchange_balance,ampleforth_exchange_balance,api3_exchange_balance,bancor_exchange_balance,band-protocol_exchange_balance,coin98_exchange_balance,cow-protocol_exchange_balance,crvusd_exchange_balance,dia-data_exchange_balance,dydx_exchange_balance,frax_exchange_balance,frax-share_exchange_balance,injective-protocol_exchange_balance,lido-dao_exchange_balance,liquity_exchange_balance,liquity-usd_exchange_balance,loopring_exchange_balance,magic-internet-money_exchange_balance,maker_exchange_balance,marlin_exchange_balance,melon_exchange_balance,olympus_exchange_balance,orbs_exchange_balance,orion-protocol_exchange_balance,pendle_exchange_balance,rocket-pool_exchange_balance,spell-token_exchange_balance,ssv-network_exchange_balance,sushi_exchange_balance,tellor_exchange_balance,uma_exchange_balance,uniswap_exchange_balance,yearn-finance_exchange_balance
2025-02-14 00:00:00+00:00,-872609.8473294971,761147.7357575455,-3844.428458269736,8912.03077560457,80730.46810160499,162839.6347936839,176121.60436825734,27272.906494516137,222925.14658040673,-606213.5101798992,-6903.401610540512,-90340.15183598528,233436.96823681096,20059.964584480607,31521.83073131068,17281.280186595537,-458967.5645188499,750413.1567497016,420309.49207144853,-2348385.7356770374,1863.743086323608,-234.009459489235,-146025.42738215765,8448.795705220351,,-94742893.86968742,1509.784523919999,-271246.3971544289,,-69554903.16144878,12061.215326490805,378207.5816861805,5401.383327993184,120146.40019619388,324788.33015280776,-15.333246113921
2025-02-15 00:00:00+00:00,-370437.2066547993,-396329.62240691273,7389.964576554975,1379.703679720594,-9134.637520089002,-30984.209517613795,-114932.23349557225,-3693.727040333614,-4664.269223190463,-338622.2697409594,-6628.18721197641,950430.00026948,-1233745.5085165373,72171.02239593388,-4049.569749345291,34655.95752428636,321174.41040331963,-146053.1017865312,264235.6546323622,4964627.006285181,-452.40289274159,-461.061878745698,169065.84709200362,115.661693367912,,1500550.323722636,20713.82293347,-93386.00031997004,,-85399836.15869217,-23223.60400667419,-152591.9153361664,661.083220292462,-136360.64612232533,98746.31370913444,1.771362666531
2025-02-16 00:00:00+00:00,-911693.123772228,-105227.08369886193,-10712.131802939575,-91.622517613075,-58373.49955807299,24682.17888767038,31397.543255508117,-4763.864397984352,464708.9211784559,17512.795959206313,8250.871161687077,-80549.04681316494,-953581.1402337475,293014.0156727997,17726.962294967878,-5366.518680268232,259757.3828004091,-95150.00950451524,-269519.4400680846,-2166460.8791064024,12594.004331828108,408.539303520594,-1256497.0147828546,406.839840384925,,4598317.841837764,-51987.29888470004,5255.290255151538,,334940190.13352305,6424.398156956751,-130932.99921498344,-2435.54936615298,5317.645767790107,-113272.8047853779,3.234278821478
2025-02-17 00:00:00+00:00,499515.8998064054,-207666.29704248923,-2751.416048590421,-2639.742423138855,185828.17349792115,-567769.5330686254,-73730.33559656095,-47196.41256645257,24582.03365501332,-858086.5667955653,-6005.464291090633,-1401.828302234699,340654.42502872663,45429.993852176434,-47843.78049083326,2646.537338802566,-401879.2575613832,-144267.29279366395,572083.230106187,-3864545.1554746497,123844.69995061592,-139.529519428359,721040.7549646535,-709.066400070649,,7099205.953894218,-10680.348611120004,817282.9953771016,,625793612.7881128,76176.74374197071,-27529.121779991234,683.825077293422,85049.68743575587,-173126.4298851615,-74.26135516628
2025-02-18 00:00:00+00:00,618496.1084070727,-1804933.3341917128,4024.191089180688,2162.522363777171,-122354.678394678,2360260.3282308173,-53854.70845902463,-25743.820528857577,-9790.209738612955,-617485.1664736134,-663.686810876616,-68520.03146318227,-2578443.370882177,288054.3519056376,-9472.089363429932,2802.573930052856,856904.8334831784,-64875.142892528114,8876.025137132248,-1210929.3418174298,-333.429616703549,1953.247960606721,105075.57573197332,-508.807335445459,,198099.65157061024,10219.963896709998,1180004.5048694685,,44625286.880656295,28809.967537818746,-44139.91784723052,-2910.700900988032,6417.295573937558,65928.80272213958,-4.568861087405
2025-02-19 00:00:00+00:00,566450.8442660894,-50326.05217469076,7320.445563329258,733.340955232675,116371.95599183,370161.16073539894,-57196.2981502852,38304.31836775837,-18129.687570667054,-201590.20090993345,142.217390932412,8482.006577568767,-2467834.602631394,-2133698.4125719606,-318787.94801065745,12081.41232212105,-271875.4690253446,39529.502465860714,247615.68470848215,300222.4399528397,-36453.36174342074,-3230.773641595269,54547.33183866928,1396.218358870358,,1649242.0202396074,2844.487465650002,-174927.7669940653,,205625068.55158648,-166.041173879442,65841.73854832386,5806.407660065427,-132363.45831676046,1460987.3080309094,-104.098663917522
2025-02-20 00:00:00+00:00,71037.21400316451,550610.9295022982,-3221.123607296442,5442.340658408908,-140412.11027044,301447.544831104,98868.89447206692,-20833.720374698416,3540.047157289359,-1176313.9698850524,-11747.287345673798,-77263.53651033195,-313112.30282429163,-383613.14555890474,64148.86259013695,-168661.84832663374,2744973.8708700477,102871.10416297516,255862.63983918703,261289.12569499156,2578.270100694337,-1611.814316078886,285033.44852566894,48.596328462472,,-2172988.30347772,-6700.793220320001,-14002.040846114987,,14042257.28611259,7113.647181324901,128697.69847739574,4399.764289699621,44226.38677793951,-223917.0179284303,71.601311003209
2025-02-21 00:00:00+00:00,-1460793.4184384916,-2074540.7529480625,-4888.323350145302,-5537.646587251993,-26175.247302976997,147109.6677291114,295911.379660821,-3937.215115927329,-20665.128359823502,-448997.84718282905,3676.793856411839,431854.4017381266,-1717456.5040842076,444092.73407492915,16247.026531276306,2700.492051627195,-1777853.75141146,-160873.662334905,-640057.172511557,-679376.8822095231,-16824.700936927697,-121.596021071582,-1271495.997427494,-534.62119166604,,3901366.164944231,-3230.56174004,-362617.94223217806,,-19630258.54438157,-2708.099978083699,-17621.333487424505,-1731.43847782604,-35019.862398560595,673791.012025927,-20.419518604651
2025-02-22 00:00:00+00:00,-326650.5064930638,-511209.7302609158,-30624.41686659326,1271.372823768906,22696.660320683,-11927.770534149451,-7768.404793690011,409.925231932116,-2528.390836222173,-10857.338853575431,-1223.564175610195,7822.96766365703,-416439.5991153728,-2581381.649503587,-4198.27771195674,12295.44074156795,-1742005.0460729343,360570.47146200296,392046.5748962185,-547966.6245763857,21475.92720754287,-941.328600524412,1402417.0217134885,23.14022612679,,-927251.6699616635,61425.38035186,-875318.7490099942,,229896544.74334663,-4791.199545563738,-143433.7281989765,-461.953831410431,-80946.65945443102,341502.98491760215,-15.667621394522
2025-02-23 00:00:00+00:00,152073.50039022893,-32616.956104344583,3091.120963069138,-1631.556658443185,49249.805221630006,-80841.9520907959,13762.710593983737,-4865.280488903245,20503.72362300204,62551.16661204007,-370.475589361268,-35280.02808203109,-18575.20267093094,-440429.14374909113,54254.99744528243,-2270.620382920254,-314979.45311735745,106003.91790941649,-146785.9492267319,4177496.372572907,1595.109450813971,-607.014706492841,321490.30235268344,125.74946371882,,1158429.8932251388,-2697.162993360001,-309329.51026008726,,-389572805.170835,-271.210753546942,87384.43903527352,-4780.354738360241,70078.15541610644,24168.970656901933,7.02202731569
